sub,CBF_GM,CBF_WM,SCORE_GM,SCORE_WM,SCRUB_GM,SCRUB_WM,BASIL_GM,BASIL_WM,PVC_GM,PVC_WM
103679,58.163511 ,41.125093 ,57.474425 ,40.687256 ,54.961827 ,40.962577 ,54.000258 ,40.660558 ,62.778531 ,57.176491
104235,42.441350 ,28.952292 ,41.217530 ,28.168880 ,39.698678 ,28.401267 ,41.268053 ,28.818454 ,48.179776 ,42.067254
104785,57.797280 ,36.750369 ,56.614797 ,36.101044 ,54.888776 ,36.391499 ,56.338029 ,36.577779 ,65.644319 ,53.685511
105168,43.231486 ,27.739084 ,42.836974 ,27.546968 ,41.585773 ,27.871138 ,42.394254 ,27.671375 ,49.132408 ,42.104460
105176,48.093538 ,33.698997 ,48.134893 ,33.701325 ,46.616571 ,33.849693 ,46.857752 ,33.445886 ,54.360434 ,47.164812
105309,61.442609 ,41.956849 ,61.167405 ,41.779408 ,59.438828 ,42.089850 ,60.628578 ,41.851518 ,69.444243 ,60.957257
105767,56.708263 ,41.589124 ,55.289196 ,40.685003 ,53.621543 ,40.884397 ,54.373475 ,41.208670 ,62.291538 ,55.617602
105979,62.046102 ,46.637272 ,61.594585 ,46.379746 ,60.102313 ,47.158039 ,59.542723 ,46.516349 ,69.551065 ,59.258564
106039,49.118509 ,37.320718 ,48.276836 ,36.686827 ,46.659859 ,37.051449 ,48.270703 ,37.044607 ,56.105561 ,51.899758
106246,59.864810 ,38.769784 ,59.905860 ,38.787158 ,57.735699 ,39.038156 ,59.266531 ,38.564863 ,70.856725 ,61.636851
106331,43.787313 ,28.943933 ,43.442545 ,28.795321 ,41.466719 ,28.689525 ,43.120687 ,28.728147 ,52.056936 ,40.624870
106802,58.754344 ,41.077020 ,58.769329 ,41.071854 ,56.825658 ,41.305734 ,58.036951 ,40.894072 ,67.809790 ,59.071783
106880,56.754020 ,43.247616 ,56.633435 ,43.152630 ,54.972817 ,43.175553 ,55.310943 ,43.087991 ,62.161911 ,56.957529
107055,45.670424 ,36.625417 ,45.052239 ,36.177926 ,40.103952 ,35.087196 ,41.480159 ,35.235954 ,48.399134 ,44.643409
109521,57.204283 ,42.748562 ,55.330913 ,41.445949 ,54.108180 ,42.065183 ,54.555423 ,42.476690 ,61.072106 ,53.692373
109646,44.339765 ,30.247665 ,43.739539 ,29.853955 ,42.290739 ,30.050134 ,44.303636 ,30.132747 ,53.383311 ,45.517651
110354,88.085018 ,69.212251 ,87.199338 ,68.696532 ,84.478875 ,68.648514 ,86.141164 ,68.697881 ,99.389315 ,93.416058
112028,66.041060 ,45.252547 ,64.951430 ,44.597898 ,61.811714 ,44.839522 ,63.403632 ,45.187223 ,71.780525 ,63.067884
112332,23.546320 ,18.820154 ,23.121707 ,18.446149 ,22.019831 ,18.267368 ,23.030481 ,18.670545 ,26.495478 ,25.314336
112694,37.206967 ,26.167198 ,37.259886 ,26.216373 ,35.807078 ,26.146498 ,36.679179 ,25.979015 ,44.124402 ,39.587017
114709,63.148608 ,48.272348 ,63.095078 ,48.207030 ,60.946392 ,48.081130 ,60.358863 ,48.007212 ,70.070700 ,62.755077
114713,5.796572 ,4.300987 ,5.657962 ,4.219826 ,5.431713 ,4.233818 ,5.513090 ,4.301847 ,6.247041 ,5.594380
114723,89.814220 ,78.979488 ,89.550836 ,78.689465 ,84.456116 ,77.710401 ,82.809802 ,79.591661 ,93.596572 ,92.327687
114935,79.254192 ,54.868036 ,78.916462 ,54.692276 ,76.148148 ,54.896551 ,75.849604 ,54.296186 ,88.232058 ,73.042316
114990,49.440348 ,35.738573 ,48.091507 ,34.786944 ,45.718136 ,34.796753 ,46.527564 ,35.395473 ,53.424864 ,47.067569
115800,54.219147 ,27.388943 ,53.020933 ,27.193007 ,40.558961 ,26.785441 ,40.770769 ,26.201173 ,47.578200 ,38.442287
116019,47.523129 ,35.780596 ,47.214672 ,35.502665 ,45.442848 ,35.584696 ,45.664233 ,35.599083 ,53.249114 ,49.079638
116051,73.668079 ,52.317240 ,73.334985 ,52.126735 ,70.660760 ,52.480464 ,70.134471 ,52.114354 ,81.082105 ,71.725758
117397,45.019720 ,31.832843 ,44.841935 ,31.765626 ,43.134553 ,31.606710 ,44.279087 ,31.812090 ,50.377435 ,46.345510
119302,47.627467 ,32.780845 ,47.089249 ,32.494207 ,44.885434 ,32.412225 ,44.402713 ,32.092224 ,49.604377 ,43.990144
119791,68.282419 ,47.113686 ,68.133082 ,46.962826 ,64.882387 ,47.206537 ,63.219870 ,46.972410 ,71.524594 ,62.576958
120217,48.988288 ,32.573067 ,48.447633 ,32.290602 ,46.964173 ,32.605823 ,47.578261 ,32.204798 ,56.982089 ,48.958537
121001,54.473265 ,36.112365 ,54.054380 ,35.842504 ,52.543481 ,36.292512 ,53.174990 ,35.931372 ,63.205308 ,53.997039
121050,71.133874 ,63.739826 ,70.099425 ,62.816512 ,67.789388 ,62.477468 ,69.146578 ,63.148938 ,84.404131 ,76.769052
121085,55.537862 ,37.872191 ,54.007272 ,36.805797 ,51.849368 ,36.746872 ,52.036308 ,37.508773 ,59.456100 ,50.922610
122522,66.656813 ,48.385089 ,64.249107 ,46.496512 ,60.899776 ,45.885019 ,65.123651 ,48.185689 ,75.594919 ,68.967737
122528,40.224181 ,30.707604 ,40.277915 ,30.760042 ,38.901868 ,30.829734 ,39.345993 ,30.595026 ,46.170335 ,40.242038
122801,58.196356 ,40.557989 ,57.489206 ,40.098876 ,55.652486 ,40.407003 ,57.703383 ,40.520516 ,68.514183 ,59.184903
122916,5.558907 ,4.054899 ,5.538359 ,4.041152 ,5.380770 ,4.066035 ,5.366465 ,4.027066 ,6.236101 ,5.571353
125511,59.909394 ,42.692792 ,59.047382 ,42.040370 ,56.995357 ,41.928423 ,57.240537 ,42.436765 ,64.222394 ,57.306945
125535,46.284440 ,31.690214 ,46.047815 ,31.518970 ,44.271721 ,31.683161 ,44.668938 ,31.598257 ,51.641866 ,45.752546
125554,57.879456 ,41.185223 ,56.376468 ,40.296843 ,53.818085 ,40.238624 ,54.404184 ,41.292203 ,60.724624 ,53.093797
126389,68.061587 ,38.890102 ,66.889560 ,38.198707 ,64.447966 ,38.828234 ,66.199260 ,38.539428 ,77.513632 ,62.211591
126554,37.886172 ,27.204793 ,37.768303 ,27.140901 ,36.200817 ,27.022214 ,37.443013 ,27.105747 ,44.389955 ,39.360462
126903,57.337748 ,42.047156 ,57.026835 ,41.820381 ,54.711014 ,41.840329 ,55.332464 ,41.259407 ,66.580319 ,57.775532
126921,59.209654 ,37.465586 ,59.070022 ,37.371011 ,57.573939 ,37.791585 ,58.567375 ,37.286871 ,68.985957 ,58.743640
127008,51.799294 ,34.511365 ,51.611550 ,34.370179 ,49.943282 ,34.617746 ,50.797573 ,34.255205 ,59.172348 ,53.146653
127236,58.503928 ,39.172313 ,57.650653 ,38.600659 ,55.862278 ,38.642972 ,56.247000 ,38.919249 ,63.353933 ,55.821660
127305,45.481593 ,31.677820 ,43.643190 ,30.459810 ,42.055693 ,30.664429 ,43.076053 ,31.536314 ,47.386861 ,42.438534
127417,48.415248 ,35.997969 ,47.628622 ,35.331114 ,46.053805 ,35.347744 ,47.907345 ,35.723553 ,55.658841 ,48.036632
127611,73.496858 ,43.317137 ,71.413907 ,42.340099 ,61.425549 ,42.522745 ,63.285108 ,42.827126 ,70.833031 ,59.168695
128154,79.565617 ,58.249821 ,78.014329 ,56.746945 ,74.924709 ,55.957605 ,77.410010 ,56.125074 ,90.069263 ,78.513618
129552,28.300163 ,18.572069 ,27.853799 ,18.376208 ,27.082807 ,18.641187 ,27.755441 ,18.543127 ,31.613584 ,28.304756
129886,63.957382 ,43.054060 ,63.149558 ,42.463450 ,60.947223 ,42.944367 ,62.324162 ,42.736968 ,72.675077 ,63.677327
129926,63.466152 ,41.516506 ,62.858464 ,41.095142 ,60.052353 ,41.317288 ,59.437576 ,41.186511 ,69.599824 ,58.668267
130121,44.712743 ,38.518536 ,44.711128 ,38.504238 ,43.770476 ,38.526346 ,43.598994 ,38.191973 ,50.429903 ,45.041171
130211,59.963752 ,41.652503 ,59.774604 ,41.502559 ,58.076239 ,41.772717 ,58.505029 ,41.567831 ,68.925250 ,61.102912
